epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,630.81,0.81886,1.05407,1.12337,0.71838,0.61186,0.65883,0.42167,1.50885,1.89642,1.73746,0.0007855,0.0007855,0.0007855
28,653.178,0.84025,1.06272,1.15103,0.40731,0.63862,0.56488,0.3583,1.54179,2.10018,1.72402,0.00077725,0.00077725,0.00077725
29,674.491,0.87824,1.03794,1.15023,0.75919,0.45683,0.53982,0.35116,1.49406,2.23987,1.79701,0.000769,0.000769,0.000769
30,696.831,0.81002,1.00773,1.1362,0.57537,0.49481,0.52885,0.31982,1.51007,2.17755,1.79705,0.00076075,0.00076075,0.00076075
31,717.431,0.85384,1.01536,1.15704,0.59882,0.54621,0.49727,0.30957,1.55971,2.29177,1.78802,0.0007525,0.0007525,0.0007525
32,739.856,0.84366,1.02325,1.15754,0.72886,0.51382,0.52311,0.31978,1.49427,2.2345,1.74101,0.00074425,0.00074425,0.00074425
33,761.898,0.84061,1.00694,1.14227,0.71909,0.54425,0.55419,0.34654,1.51499,2.08032,1.76774,0.000736,0.000736,0.000736
34,784.679,0.80946,0.99276,1.12136,0.50103,0.64205,0.58141,0.37806,1.50979,2.01278,1.71773,0.00072775,0.00072775,0.00072775
35,810.019,0.80913,0.97822,1.12026,0.72359,0.50323,0.61471,0.37904,1.50247,2.06981,1.74841,0.0007195,0.0007195,0.0007195
36,838.428,0.7849,0.91223,1.12059,0.64962,0.5724,0.57537,0.35865,1.51992,2.14499,1.78916,0.00071125,0.00071125,0.00071125
37,860.839,0.83222,0.97381,1.14208,0.71308,0.54597,0.6439,0.40368,1.48401,1.73965,1.7485,0.000703,0.000703,0.000703
38,884.833,0.80306,0.94699,1.11295,0.82721,0.54721,0.63171,0.38378,1.45718,1.68431,1.7719,0.00069475,0.00069475,0.00069475
39,907.195,0.77718,0.90102,1.11707,0.70939,0.57886,0.62981,0.391,1.46142,1.85051,1.75163,0.0006865,0.0006865,0.0006865
40,928.722,0.77446,0.93637,1.09219,0.55412,0.53976,0.56138,0.31864,1.62558,2.09646,1.83759,0.00067825,0.00067825,0.00067825
41,950.809,0.7215,0.82687,1.06612,0.68247,0.51353,0.59593,0.34556,1.6184,1.97038,1.83496,0.00067,0.00067,0.00067
42,972.906,0.72245,0.85921,1.06571,0.60076,0.57835,0.56688,0.38066,1.477,1.80284,1.748,0.00066175,0.00066175,0.00066175
43,995.016,0.73944,0.85473,1.09108,0.77334,0.5688,0.63093,0.40995,1.54583,1.71843,1.80536,0.0006535,0.0006535,0.0006535
44,1016.5,0.73585,0.86254,1.08677,0.65749,0.54129,0.63321,0.44505,1.54295,1.85224,1.74458,0.00064525,0.00064525,0.00064525
45,1039.09,0.74861,0.85351,1.10396,0.74069,0.63884,0.65608,0.46073,1.49475,1.74102,1.69103,0.000637,0.000637,0.000637
46,1060.89,0.73166,0.85047,1.08233,0.75087,0.61921,0.61881,0.42192,1.49681,1.74313,1.75351,0.00062875,0.00062875,0.00062875
47,1087.86,0.73201,0.81005,1.09925,0.75125,0.52987,0.62732,0.42206,1.54007,1.92768,1.77718,0.0006205,0.0006205,0.0006205
48,1111.62,0.67947,0.78673,1.05931,0.56356,0.62168,0.57026,0.36335,1.51219,2.08419,1.75444,0.00061225,0.00061225,0.00061225
49,1135.71,0.69835,0.74922,1.0701,0.78867,0.52925,0.59741,0.41263,1.50362,1.93426,1.76201,0.000604,0.000604,0.000604
50,1159.59,0.7427,0.82086,1.0831,0.73429,0.63125,0.62208,0.40754,1.45358,1.64343,1.71985,0.00059575,0.00059575,0.00059575
51,1182.09,0.70123,0.76623,1.05418,0.81956,0.56209,0.66547,0.46215,1.43884,1.60204,1.67255,0.0005875,0.0005875,0.0005875
52,1207.29,0.6667,0.74811,1.04314,0.80075,0.51989,0.66632,0.45924,1.43846,1.70153,1.70089,0.00057925,0.00057925,0.00057925
53,1246.71,0.66741,0.78767,1.05398,0.73404,0.52067,0.60661,0.38307,1.46879,1.95484,1.7347,0.000571,0.000571,0.000571
54,1278.52,0.68602,0.77367,1.05878,0.85238,0.42415,0.59149,0.40352,1.38255,1.80787,1.64165,0.00056275,0.00056275,0.00056275
55,1308.61,0.66324,0.77774,1.05118,0.55055,0.49309,0.56241,0.37239,1.45292,2.22657,1.69442,0.0005545,0.0005545,0.0005545
56,1336.19,0.6758,0.80102,1.06922,0.59108,0.50506,0.57783,0.3796,1.439,2.07895,1.71848,0.00054625,0.00054625,0.00054625
57,1362.92,0.64659,0.75371,1.07584,0.72623,0.49615,0.58396,0.38891,1.38498,1.86797,1.68125,0.000538,0.000538,0.000538
58,1389.98,0.68098,0.75419,1.06045,0.62172,0.61107,0.5442,0.37181,1.45288,1.90788,1.72187,0.00052975,0.00052975,0.00052975
59,1416.54,0.62548,0.69214,1.04811,0.58048,0.59772,0.54044,0.36915,1.43507,1.97504,1.7326,0.0005215,0.0005215,0.0005215
60,1441.9,0.6303,0.73264,1.04815,0.70572,0.58277,0.58192,0.37709,1.53331,1.91186,1.80765,0.00051325,0.00051325,0.00051325
61,1464.44,0.63273,0.7399,1.0503,0.6102,0.60727,0.59587,0.36853,1.51255,1.92711,1.80859,0.000505,0.000505,0.000505
62,1488.76,0.62038,0.71177,1.04147,0.66234,0.52347,0.56053,0.37567,1.47191,1.81193,1.77562,0.00049675,0.00049675,0.00049675
63,1512.03,0.60465,0.67092,1.0062,0.55309,0.59627,0.59067,0.39482,1.50739,1.74468,1.76039,0.0004885,0.0004885,0.0004885
64,1536.58,0.61725,0.63574,1.03619,0.71434,0.5682,0.57393,0.35752,1.50466,1.82669,1.76575,0.00048025,0.00048025,0.00048025
65,1561.93,0.61699,0.67332,1.02191,0.64554,0.60993,0.53642,0.33795,1.52366,1.86771,1.82115,0.000472,0.000472,0.000472
66,1589.82,0.57837,0.64361,1.01034,0.74695,0.55656,0.56527,0.37616,1.51008,1.78156,1.84952,0.00046375,0.00046375,0.00046375
67,1612.76,0.60492,0.67104,1.02724,0.66714,0.53392,0.5876,0.38659,1.54396,1.90008,1.82869,0.0004555,0.0004555,0.0004555
68,1635.68,0.61085,0.65168,1.02862,0.77827,0.60739,0.65067,0.42229,1.541,1.81891,1.80308,0.00044725,0.00044725,0.00044725
69,1661.92,0.61051,0.64097,1.01373,0.87375,0.51011,0.62986,0.41184,1.42872,1.73541,1.80476,0.000439,0.000439,0.000439
70,1686.34,0.58836,0.62656,1.01921,0.63206,0.63853,0.56431,0.36495,1.48862,1.74827,1.81209,0.00043075,0.00043075,0.00043075
71,1711.67,0.57155,0.62915,1.02424,0.63667,0.56318,0.58622,0.38929,1.50912,1.78495,1.79914,0.0004225,0.0004225,0.0004225
72,1735.48,0.58022,0.64028,1.02417,0.60197,0.57854,0.57454,0.38788,1.50556,1.7449,1.75198,0.00041425,0.00041425,0.00041425
73,1763.64,0.57393,0.6133,0.99969,0.64969,0.63563,0.66661,0.42806,1.56807,1.73591,1.78114,0.000406,0.000406,0.000406
74,1788.71,0.58085,0.60215,1.01701,0.75475,0.55589,0.64929,0.44256,1.56184,1.67003,1.81505,0.00039775,0.00039775,0.00039775
75,1810.51,0.54022,0.57451,0.99654,0.7631,0.59657,0.61131,0.40122,1.52274,1.6745,1.82151,0.0003895,0.0003895,0.0003895
76,1832.36,0.56762,0.59798,1.01393,0.74449,0.62375,0.61048,0.39115,1.54936,1.74203,1.85466,0.00038125,0.00038125,0.00038125
77,1854.04,0.55962,0.59922,1.01156,0.67111,0.58582,0.61065,0.40888,1.53957,1.80252,1.86011,0.000373,0.000373,0.000373
78,1876.07,0.56778,0.59492,1.00489,0.82404,0.53179,0.62556,0.42233,1.54369,1.77019,1.85338,0.00036475,0.00036475,0.00036475
79,1908.79,0.55091,0.58917,1.00409,0.79257,0.52299,0.60978,0.39982,1.53989,1.77441,1.85359,0.0003565,0.0003565,0.0003565
80,1935.33,0.53953,0.59099,0.98826,0.73067,0.54244,0.60024,0.3954,1.59518,1.89135,1.91814,0.00034825,0.00034825,0.00034825
81,1956.33,0.55979,0.58605,1.01073,0.74568,0.57506,0.60104,0.37947,1.61645,1.83012,1.94474,0.00034,0.00034,0.00034
82,1977.14,0.51048,0.55431,0.97741,0.61024,0.61587,0.57717,0.35131,1.62303,1.83229,1.97757,0.00033175,0.00033175,0.00033175
83,1998.13,0.56823,0.58819,1.00077,0.66813,0.58421,0.5843,0.36005,1.6232,1.83241,2.00279,0.0003235,0.0003235,0.0003235
84,2019.84,0.51842,0.56702,0.99626,0.71621,0.54444,0.58949,0.3752,1.60683,1.80464,1.97984,0.00031525,0.00031525,0.00031525
85,2041.5,0.55532,0.57741,1.01418,0.81519,0.52674,0.56971,0.34778,1.60737,1.82348,1.93704,0.000307,0.000307,0.000307
86,2062.74,0.50048,0.54939,0.98044,0.74079,0.52151,0.58739,0.37309,1.56384,1.77289,1.91738,0.00029875,0.00029875,0.00029875
87,2083.49,0.52653,0.5511,0.98115,0.66076,0.52317,0.56201,0.36209,1.51749,1.76934,1.89833,0.0002905,0.0002905,0.0002905
88,2104.53,0.50301,0.51559,0.99899,0.75736,0.50586,0.5887,0.37787,1.48927,1.74849,1.88155,0.00028225,0.00028225,0.00028225
89,2125.69,0.51735,0.5247,1.00007,0.78133,0.50562,0.58829,0.37618,1.51763,1.81722,1.91022,0.000274,0.000274,0.000274
90,2146.55,0.49822,0.5125,0.97792,0.77337,0.49445,0.59424,0.37449,1.49109,1.8056,1.88722,0.00026575,0.00026575,0.00026575
91,2167.32,0.47437,0.51215,0.97336,0.73369,0.52124,0.60272,0.38193,1.52557,1.84264,1.88101,0.0002575,0.0002575,0.0002575
92,2188.04,0.49347,0.5209,0.96982,0.76452,0.47067,0.60133,0.38966,1.50378,1.9269,1.88579,0.00024925,0.00024925,0.00024925
93,2208.93,0.49273,0.54695,0.98256,0.84422,0.46273,0.6017,0.39646,1.49983,1.91893,1.901,0.000241,0.000241,0.000241
94,2229.72,0.47995,0.51904,0.98416,0.59861,0.59908,0.62068,0.41177,1.51935,1.85831,1.92965,0.00023275,0.00023275,0.00023275
95,2251.01,0.51352,0.53893,0.98311,0.81333,0.5117,0.61257,0.40501,1.56725,1.79219,1.95617,0.0002245,0.0002245,0.0002245
96,2272.84,0.496,0.52829,0.97642,0.80688,0.54429,0.61567,0.40718,1.53841,1.65817,1.92204,0.00021625,0.00021625,0.00021625
97,2293.69,0.45915,0.53129,0.964,0.72956,0.59996,0.61489,0.38874,1.54635,1.62647,1.9138,0.000208,0.000208,0.000208
98,2314.92,0.47042,0.50167,0.95997,0.68329,0.5944,0.60732,0.39326,1.54619,1.6513,1.91945,0.00019975,0.00019975,0.00019975
99,2336.01,0.46656,0.52347,0.96868,0.74097,0.56368,0.60971,0.39899,1.57521,1.69234,1.95669,0.0001915,0.0001915,0.0001915
100,2357.55,0.48642,0.52303,0.97517,0.78007,0.54276,0.61051,0.39784,1.59262,1.73615,1.97998,0.00018325,0.00018325,0.00018325
101,2378.63,0.45834,0.50658,0.96808,0.79975,0.51589,0.61317,0.40531,1.55607,1.75693,1.95501,0.000175,0.000175,0.000175
102,2400.47,0.42877,0.49007,0.96079,0.7144,0.52276,0.5875,0.3994,1.57159,1.81307,1.95877,0.00016675,0.00016675,0.00016675
103,2421.69,0.46419,0.50574,0.95683,0.69029,0.56513,0.58664,0.39453,1.57932,1.78473,1.96733,0.0001585,0.0001585,0.0001585
104,2442.94,0.4262,0.47588,0.95387,0.68119,0.55569,0.57284,0.39159,1.53118,1.73607,1.9279,0.00015025,0.00015025,0.00015025
105,2464.32,0.45281,0.50371,0.96478,0.71595,0.55105,0.57301,0.38041,1.48951,1.71625,1.91111,0.000142,0.000142,0.000142
106,2485.93,0.43571,0.4782,0.95644,0.66148,0.54207,0.58068,0.38256,1.50509,1.70045,1.91526,0.00013375,0.00013375,0.00013375
107,2507.9,0.44017,0.47918,0.95394,0.61503,0.5781,0.58664,0.38234,1.54588,1.66377,1.94143,0.0001255,0.0001255,0.0001255
108,2529.44,0.45703,0.46746,0.96302,0.60714,0.58405,0.58242,0.38808,1.51556,1.63574,1.92209,0.00011725,0.00011725,0.00011725
109,2550.75,0.43355,0.45147,0.95073,0.61682,0.57871,0.58815,0.39505,1.48193,1.67335,1.88767,0.000109,0.000109,0.000109
110,2571.56,0.44122,0.49196,0.96204,0.63619,0.55791,0.58859,0.39247,1.46862,1.688,1.87239,0.00010075,0.00010075,0.00010075
111,2592.21,0.32964,0.49513,0.90341,0.62304,0.55888,0.5756,0.37843,1.48063,1.73825,1.88994,9.25e-05,9.25e-05,9.25e-05
112,2612.61,0.31838,0.44469,0.89439,0.63636,0.52141,0.56809,0.38574,1.46792,1.79917,1.90466,8.425e-05,8.425e-05,8.425e-05
113,2633,0.32021,0.44484,0.88093,0.64094,0.51527,0.56492,0.38972,1.47197,1.82993,1.91336,7.6e-05,7.6e-05,7.6e-05
114,2653.83,0.32609,0.45216,0.86704,0.84953,0.44826,0.58634,0.40755,1.48432,1.83855,1.93129,6.775e-05,6.775e-05,6.775e-05
115,2674.34,0.2836,0.39626,0.85971,0.56509,0.58467,0.58467,0.40195,1.46442,1.79967,1.92169,5.95e-05,5.95e-05,5.95e-05
116,2694.73,0.30386,0.38619,0.8789,0.62763,0.54598,0.58197,0.40358,1.41861,1.78942,1.88008,5.125e-05,5.125e-05,5.125e-05
117,2716.64,0.27993,0.37043,0.86107,0.58684,0.59083,0.58091,0.40123,1.40534,1.79757,1.86933,4.3e-05,4.3e-05,4.3e-05
118,2739.15,0.28411,0.38382,0.86459,0.60933,0.60445,0.58008,0.40073,1.41101,1.77261,1.87244,3.475e-05,3.475e-05,3.475e-05
119,2760.23,0.28496,0.37474,0.87482,0.6554,0.53011,0.57861,0.39978,1.40406,1.74934,1.86184,2.65e-05,2.65e-05,2.65e-05
120,2782.04,0.27229,0.36224,0.87142,0.6473,0.5435,0.58325,0.40387,1.42227,1.71642,1.87051,1.825e-05,1.825e-05,1.825e-05
